"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"Fiat",1,15982,"Gasoline",18
"Ford",3.9,27451,"Diesel",34
"GM - Chevrolet",2,22535,"Gasoline",19
"Fiat",1,130616,"Gasoline",0
"Ford",1.5,44055,"Gasoline",7
"Mercedes-Benz",2.2,170872,"Diesel",5
"GM - Chevrolet",2.8,149207,"Diesel",4
"GM - Chevrolet",2.5,38797,"Diesel",23
"Fiat",2.8,42594,"Diesel",19
"Ford",2,21327,"Gasoline",19
"Ford",3.9,112949,"Diesel",15
"Ford",3.2,130784,"Diesel",7
"VW - VolksWagen",1.6,81725,"Gasoline",1
"GM - Chevrolet",2.2,24635,"Gasoline",25
"VW - VolksWagen",1.8,9922,"Gasoline",32
"VW - VolksWagen",1,10570,"Alcohol",22
"Ford",4.2,112643,"Diesel",19
"GM - Chevrolet",1.6,12720,"Gasoline",26
"VW - VolksWagen",1.6,95389,"Gasoline",1
"VW - VolksWagen",1,28554,"Gasoline",11
"Fiat",1.8,49068,"Gasoline",9
"VW - VolksWagen",1.6,42837,"Gasoline",9
"VW - VolksWagen",1.6,10431,"Gasoline",27
"Fiat",1,15347,"Gasoline",17
"Ford",4,24471,"Gasoline",25
"Fiat",1,28379,"Gasoline",9
"Fiat",1,19138,"Gasoline",15
"Mercedes-Benz",3.5,141481,"Gasoline",16
"Fiat",2.3,116866,"Diesel",7
"Fiat",2,186421,"Diesel",0
"GM - Chevrolet",2.2,22598,"Gasoline",23
"Fiat",1,19995,"Gasoline",16
"Fiat",1.8,30184,"Gasoline",16
"Fiat",1.3,105478,"Gasoline",0
"Mercedes-Benz",6.2,179833,"Gasoline",14
"GM - Chevrolet",2,23220,"Gasoline",18
"Mercedes-Benz",2,559484,"Gasoline",1
"VW - VolksWagen",3.6,50066,"Gasoline",14
"Fiat",1.6,11711,"Gasoline",21
"Ford",2,8105,"Alcohol",28
"Ford",2,8651,"Gasoline",29
"Ford",3.2,144227,"Diesel",8
"GM - Chevrolet",1.8,8161,"Gasoline",33
"VW - VolksWagen",1.6,35289,"Gasoline",12
"Mercedes-Benz",2.2,209657,"Diesel",0
"VW - VolksWagen",1.6,7785,"Gasoline",33
"Mercedes-Benz",1.6,131820,"Gasoline",8
"Ford",1.8,5546,"Gasoline",32
"VW - VolksWagen",1,100652,"Gasoline",2
"GM - Chevrolet",1.4,77399,"Gasoline",3
"VW - VolksWagen",2,11680,"Alcohol",26
"Fiat",1.3,84736,"Gasoline",0
"Fiat",1,47930,"Gasoline",4
"Mercedes-Benz",4,875000,"Gasoline",5
"GM - Chevrolet",2.2,12933,"Gasoline",27
"Ford",1.5,92902,"Gasoline",2
"Fiat",1.8,33754,"Gasoline",12
"Fiat",1.9,26854,"Gasoline",14
"GM - Chevrolet",2.2,23708,"Gasoline",26
"Fiat",1.6,7005,"Gasoline",27
"Mercedes-Benz",1.6,140137,"Gasoline",8
"VW - VolksWagen",1.6,11260,"Alcohol",24
"VW - VolksWagen",2,29196,"Gasoline",15
"Fiat",1,56462,"Gasoline",4
"Fiat",1.8,95957,"Gasoline",2
"GM - Chevrolet",1.4,51140,"Gasoline",7
"GM - Chevrolet",1,35235,"Gasoline",7
"VW - VolksWagen",2,85692,"Diesel",10
"Ford",1.4,13235,"Gasoline",25
"VW - VolksWagen",1.8,8208,"Alcohol",27
"VW - VolksWagen",1.6,8076,"Gasoline",33
"Ford",1.6,5953,"Gasoline",32
"Fiat",1.8,33035,"Gasoline",13
"GM - Chevrolet",2.4,75689,"Gasoline",7
"VW - VolksWagen",1,27830,"Gasoline",12
"Ford",1.8,4331,"Gasoline",35
"Fiat",1.4,65745,"Gasoline",0
"GM - Chevrolet",1.8,76273,"Gasoline",7
